School Number,School Name,LA Code,Local Authority,Sector,Governance - see notes,WM Code,Welsh Medium Type - see notes,School Type,Religious Character,Address 1,Address 2,Address 3,Address 4,Postcode,Phone Number,Pupils - see notes
6762103,Waunfawr Primary,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Waunfawr Road,Crosskeys,Caerphilly,,NP11 7PG,01495 270269,186
6762105,Risca Primary,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Danygraig Road,Risca,Caerphilly,,NP11 6DB,01633 612429,314
6762108,Fochriw Primary,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Pontlottyn Road,Fochriw,Bargoed,,CF81 9LL,01685 841236,104
6762121,Gilfach Fargoed Primary,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Vere Street,Gilfach,Bargoed,,CF81 8LB,01443 875510,172
6762140,Hendre Junior School,676,Caerphilly,Primary,Community,EM,English medium,Juniors,---,St Cenydd Road,Trecenydd,Caerphilly,,CF83 2RP,02920 852518,214
6762145,Hendre Infants School,676,Caerphilly,Primary,Community,EM,English medium,Nursery & Infants,---,St Cenydd Road,Trecenydd,Caerphilly,,CF83 2RP,02920 852519,142
6762148,Hengoed Primary,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Chapel Terrace,Hengoed,Caerphilly,,CF82 7JU,01443 812909,187
6762158,Llancaeach Junior School,676,Caerphilly,Primary,Community,EM,English medium,Juniors,---,Commercial Street,Nelson,Treharris,,CF46 6NF,01443 450211,132
6762171,Llanfabon Infants School,676,Caerphilly,Primary,Community,EM,English medium,Nursery & Infants,---,Bryncelyn Avenue,Nelson,Treharris,Caerphilly,CF46 6HL,01443 450275,145
6762193,Rhydri Primary School,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Rhydri,Caerphilly,,,CF83 3DF,02920 852525,86
6762197,Nant Y Parc Primary School,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Universal Site,Senghenydd,Caerphilly,,CF83 4GY,02920 832116,229
6762207,Pantside Primary,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Old Pant Road,Pantside,Newbridge,Newport,NP11 5DE,01495 243286,218
6762224,Tiryberth Primary,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,New Road,Tiryberth,Hengoed,,CF82 8AU,01443 875526,161
6762227,Ty Isaf Infants School,676,Caerphilly,Primary,Community,EM,English medium,Nursery & Infants,---,Mill Street,Risca,Caerphilly,,NP11 6EF,01633 612420,129
6762252,Cwm Ifor Primary School,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Aneurin,Penyrheol,Caerphilly,,CF83 2PG,02920 852509,270
6762256,Bryn Primary,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,"Forest Hill,The Bryn",Pontllanfraith,Blackwood,,NP12 2PL,01495 225690,163
6762262,Ysgol Ifor Bach,676,Caerphilly,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Windsor Way,Abertridwr,Caerphilly,,CF83 4AB,02920 830375,265
6762264,Abercarn Primary School,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Chapel Of Ease,Abercarn,Caerphilly,,NP11 5LH,01495 244566,267
6762278,Greenhill Primary,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Penywrlod,Gelligaer,Hengoed,,CF82 8EU,01443 875521,197
6762282,Ysgol Gymraeg Caerffili,676,Caerphilly,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Heol Parcyfelin,Caerffilli,,,CF83 3HG,02920 852531,456
6762285,Ysgol Gymraeg Gilfach Fargod,676,Caerphilly,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Commercial Street,Gilfach,Bargoed,,CF81 8JG,01443 875528,146
6762296,Ynysddu Primary School,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,High Street,Ynysddu,Newport,,NP11 7JH,01495 200223,125
6762307,Upper Rhymney Primary School,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Oakland Terrace,Rhymney,,,NP22 5EP,01685 840293,178
6762309,Ysgol Y Lawnt,676,Caerphilly,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Surgery Hill,Rhymney,,,NP22 5LS,01685 840285,218
6762310,Bryn Awel Primary School,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Eglwys Fan,Rhymney,,,NP22 5JJ,01685 840230,139
6762313,Ysgol Gymraeg Trelyn,676,Caerphilly,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Commercial Street,Pengam,Blackwood,,NP12 3ST,01443 821600,205
6762316,Phillipstown Primary School,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Cefn Rhychdir Road,Phillipstown,New Tredegar,Caerphilly,NP24 6XE,01443 875522,136
6762322,Maesycwmmer Primary School,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Tabor Road,Maesycwmmer,Hengoed,,CF82 7PU,01443 812148,179
6762323,Bedwas Junior,676,Caerphilly,Primary,Community,EM,English medium,Juniors,---,Church Street,Bedwas,Caerphilly,,CF83 8EB,02920 852511,162
6762326,Machen Primary School,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Commercial Road,Machen,Newport,,CF83 8NA,01633 440403,177
6762328,Graig-Y-Rhacca Primary And Nursery Community,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Addison Way,Machen,Caerphilly,,CF83 8WW,02920 852516,175
6762335,Bedwas Infants,676,Caerphilly,Primary,Community,EM,English medium,Nursery & Infants,---,St Mary's Street,Bedwas,Caerphilly,,CF83 8EE,02920 852512,162
6762338,Hendredenny Park Primary,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,White Cross Lane,Hendredenny Estate,Caerphilly,,CF83 2BL,02920 852520,254
6762339,Cwm Glas Infants School,676,Caerphilly,Primary,Community,EM,English medium,Nursery & Infants,---,Pant Glas,Llanbradach,Caerphilly,,CF83 3PD,02920 852515,70
6762347,Cwmaber Infants School,676,Caerphilly,Primary,Community,EM,English medium,Nursery & Infants,---,Bryngelli Terrace,Abertridwr,Caerphilly,,CF83 4FF,02920 830248,122
6762368,Ysgol Gymraeg Bro Allta,676,Caerphilly,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Central Street,Ystrad Mynach,Hengoed,,CF82 7XQ,01443 814883,309
6762370,Cwmfelinfach Primary,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,King Street,Cwmfelinfach,Ynysddu,,NP11 7HL,01495 200225,232
6762373,Ysgol Gymraeg Cwm Gwyddon,676,Caerphilly,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Heol Gwyddon,Abercarn,Newport,,NP11 5GX,01495 244267,244
6762374,Y G G Y Castell,676,Caerphilly,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Crescent Road,Caerphilly,,,CF83 1WH,02920 864790,460
6762376,Cwrt Rawlin Primary School,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Cae Meillion,Caerphilly,,,CF83 1SN,02920 807070,360
6762377,Cefn Fforest Primary,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Cefn Fforest Avenue,Cefn Fforest,Blackwood,,NP12 3JX,01443 830449,275
6762378,Penllwyn Primary,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Fleur-De-Lys Avenue,Pontllanfraith,Blackwood,,NP12 2NT,01495 223505,138
6762379,Blackwood Primary,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Apollo Way,Blackwood,,,NP12 1WA,01495 224111,436
6762380,Glyn-Gaer Primary School,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Oxford Street Glyngaer,Gelligaer,Hengoed,Caerphilly,CF82 8FF,01443 875518,253
6762381,Park Primary,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Park Crescent,Bargoed,,,CF81 8PN,01443 875524,103
6762382,Aberbargoed Primary School,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Ysgol Newydd,Bargoed,Caerphilly,,CF81 9DD,01443 875512,240
6762383,Trinant Primary,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Conway Road,Pentwyn,Crumlin,,NP11 3JN,01495 214357,165
6762384,Ty Sign Primary School,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Elm Drive,Risca,Caerphilly,,NP11 6HJ,01633 612813,497
6762385,Tyn-y-Wern Primary,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Navigator Street,Trethomas,,,CF83 8FL,02920 852528,225
6762386,Twyn Primary,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,East View,Caerphilly,,,CF83 1UT,02920 852527,481
6762387,White Rose Primary School,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,White Rose Way,New Tredegar,,,NP24 6DW,01443 828060,229
6762388,Ysgol Bro Sannan,676,Caerphilly,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ty Fry Road,Aberbargoed,Bargoed,,CF81 9FN,01443 828000,187
6762389,Plasyfelin Primary School,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Lewis Drive,Churchill Park,Caerphilly,,CF83 3FT,02920 852523,340
6762390,St James Primary School,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Lansbury Park,Caerphilly,,,CF83 3GT,02920 852522,334
6762391,St Gwladys Bargoed School,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Church Place,Bargoed,,,CF81 8RP,01443 875523,405
6762392,Rhiw Syr Dafydd Primary School,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Maes-y-Garn Road,Oakdale,Blackwood,,NP12 0NA,01495 222829,630
6762393,Ystrad Mynach Primary,676,Caerphilly,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Lewis Street,Ystrad Mynach,Hengoed,,CF82 7AQ,01443 812707,435
6762394,Ysgol Gynradd Gymraeg Cwm Derwen,676,Caerphilly,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Beech Grove,Oakdale,Blackwood,,NP12 0JL,01495 226062,228
6762395,Ysgol Penalltau,676,Caerphilly,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Cwm Calon,Penallta,Ystrad Mynach,,CF82 6AP,01443 862974,228
6763310,St Helens Rc Primary,676,Caerphilly,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Lansbury Park,Caerphilly,,,CF83 1QH,02920 852532,245
6764031,Newbridge School,676,Caerphilly,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Bridge Street,Newbridge,Newport,,NP11 5FR,01495 243243,1016
6764046,Blackwood Comprehensive School,676,Caerphilly,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Ty Isha Terrace,Cen Fforest,Blackwood,,NP12 1ER,01495 225566,966
6764065,St Cenydd School,676,Caerphilly,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,St Cenydd Road,Trecenydd,Caerphilly,,CF83 2RP,02920 852504,1029
6764068,Risca Community Comprehensive,676,Caerphilly,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Pontymason Lane,Rogerstone,Newport,,NP11 6YY,01633 612425,660
6764070,St Martin's School,676,Caerphilly,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Hillside,Caerphilly,,,CF83 1UW,02920 858050,1000
6764073,Heolddu Comprehensive School,676,Caerphilly,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Mountain Road,Bargoed,Caerphilly,,CF81 8XL,01443 875531,570
6764075,Lewis School Pengam,676,Caerphilly,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Gilfach,Bargoed,,,CF81 8LJ,01443 873873,712
6764077,Lewis Girls' Comprehensive School,676,Caerphilly,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Oakfield Street,Ystrad Mynach,,,CF82 7WW,01443 813168,691
6764093,Bedwas High School,676,Caerphilly,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Newport Road,Bedwas,Caerphilly,,CF83 8BJ,02920 859800,647
6764103,Ysgol Gyfun Cwm Rhymni,676,Caerphilly,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Heol Gelli Haf,Fleur De Lys,Blackwood,Caerphilly,NP12 3JQ,01443 875227,1730
6764104,Islwyn High School,676,Caerphilly,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Waterloo,Oakdale,Blackwood,,NP12 0NU,01495 233600,1078
6765500,Idris Davies School 3 to 18,676,Caerphilly,Middle,Community,EM,English medium,Middle (ages 3-19),---,Mill Field,Abertysswg,Rhymney,,NP22 5XF,01685 846900,908
6767011,Trinity Fields School,676,Caerphilly,Special,Not Applicable,NA,Not applicable,Special (with post-16 provision),---,Caerphilly Road,Ystrad Mynach,Hengoed,,CF82 7XW,01443 866000,177
6772067,Bryn Bach Primary School,677,Blaenau Gwent,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Merthyr Road,Tredegar,Blaenau Gwent,,NP22 3RX,01495 722569,227
6772070,Glanhowy Primary School,677,Blaenau Gwent,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Coach Bach,Tredegar,Blaenau Gwent,,NP22 4RW,01495 722312,304
6772072,Deighton Primary School,677,Blaenau Gwent,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Stockton Way,Tredegar,Blaenau Gwent,,NP22 3ES,01495 722567,208
6772074,Georgetown Junior And Infants,677,Blaenau Gwent,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Oakfield Road,Tredegar,Blaenau Gwent,,NP22 4LJ,01495 717341,433
6772179,Sofrydd Primary,677,Blaenau Gwent,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Sofrydd Road,Crumlin,Newbridge,Blaenau Gwent,NP11 5DW,01495 244003,171
6772253,Cwm Primary School,677,Blaenau Gwent,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Canning Street,Cwm,Ebbw Vale,Blaenau Gwent,NP23 7RD,01495 370437,218
6772277,Beaufort Hill Primary,677,Blaenau Gwent,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Beaufort Hill,Ebbw Vale,Blaenau Gwent,,NP23 5QD,01495 302624,260
6772278,Willowtown Primary School,677,Blaenau Gwent,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Brynheulog Street,Willowtown,Ebbw Vale,Blaenau Gwent,NP23 6NJ,01496 302436,469
6772306,Blaen-y-Cwm Primary School,677,Blaenau Gwent,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Blaenafon Road,Brynmawr,Blaenau Gwent,,NP23 4BR,01495 313524,294
6772307,Ysgol Gymraeg Brohelyg,677,Blaenau Gwent,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rising Sun Industrial Estate,Blaina,Blaenau Gwent,,NP13 3DQ,01495 293000,256
6772309,Glyncoed Primary,677,Blaenau Gwent,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Badminton Grove,Ebbw Vale,Blaenau Gwent,,NP23 5UL,01495 302402,360
6772310,Rhos Y Fedwen,677,Blaenau Gwent,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Honeyfield Road,Rassau,Ebbw Vale,Blaenau Gwent,NP23 5TA,01495 302465,132
6772311,Ystruth Primary,677,Blaenau Gwent,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,East Pentwyn,Blaina,Blaenau Gwent,,NP13 3XG,01495 290955,338
6772312,St. Illtyd's Primary School,677,Blaenau Gwent,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llanhilleth,,,Abertillery,NP13 2JT,01495 321718,220
6772313,Coed Y Garn Primary School,677,Blaenau Gwent,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Parrot Row,Blaina,Blaenau Gwent,,NP13 3AH,01495 290044,232
6773308,St Mary's Roman Catholic,677,Blaenau Gwent,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Catholic Road,Brynmawr,Blaenau Gwent,,NP23 4EF,01495 310596,210
6773309,St. Mary's Church School,677,Blaenau Gwent,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Intermediate Road,Brynmawr,Blaenau Gwent,,NP23 4SF,01495 310525,235
6773315,All Saints R.C. Primary School,677,Blaenau Gwent,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Heol yr Ysgol,Ebbw Vale,Blaenau Gwent,,NP23 6QF,01495 303631,209
6773316,St. Joseph's R.C. Primary,677,Blaenau Gwent,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Ashvale,Tredegar,Blaenau Gwent,,NP22 3RU,01495 722899,115
6774061,Tredegar Comprehensive School,677,Blaenau Gwent,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Stable Lane,Tredegar,Blaenau Gwent,,NP22 4BH,01495 723551,687
6775401,Brynmawr Foundation School,677,Blaenau Gwent,Secondary,Foundation,EM,English medium,Secondary (ages 11-16),---,"Rhydw, Intermediate Road",Brymawr,Blaenau Gwent,,NP23 4XT,01495 310527,693
6775500,Ebbw Fawr Learning Community,677,Blaenau Gwent,Middle,Community,EM,English medium,Middle (ages 3-16),---,Lime Avenue,Ebbw Vale,Blaenau Gwent,,NP23 6GL,01495 354690,1217
6775501,Abertillery Learning Community,677,Blaenau Gwent,Middle,Community,EM,English medium,Middle (ages 3-16),---,Alma Street,Abertillery,Blaenau Gwent,,NP13 1HN,01495 355911,1664
6777011,Pen-y-cwm Special School,677,Blaenau Gwent,Special,Not Applicable,NA,Not applicable,Special (with post-16 provision),---,Strand Annealing Lane,Ebbw Vale,Blaenau Gwent,,NP23 6AN,01495 357755,140
6777012,The River Centre 3-16 Learning Community,677,Blaenau Gwent,Special,Community,NA,Not applicable,Special (without post-16 provision),---,Pontygof,,Ebbw Vale,Blaenau Gwent,NP23 6EH,01495 357714,57
6782203,Llanyrafon Primary School,678,Torfaen,Primary,Community,EM,English medium,Infants & Juniors,---,Llanyrafon Way,Llanyrafon,Cwmbran,Torfaen,NP44 8HW,01633 867130,413
6782204,Maendy Junior And Infants,678,Torfaen,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Wayfield Crescent,Cwmbran,Torfaen,,NP44 1NH,01633 483168,252
6782205,Llantarnam Community Primary School,678,Torfaen,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llantarnam Road,Llantarnam,Cwmbran,Torfaen,NP44 3XB,01633 480039,356
6782211,Pontnewydd Primary & Nursery,678,Torfaen,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Bryncelyn Road,Pontnewydd,Cwmbran,Torfaen,NP44 1JW,01633 483307,429
6782249,Greenmeadow Primary,678,Torfaen,Primary,Community,EM,English medium,Infants & Juniors,---,Greenmeadow,,Cwmbran,Torfaen,NP44 5YY,01633 484320,185
6782298,Cwmffrwdoer Primary,678,Torfaen,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Waunddu,Pontnewynydd,Pontypool,Torfaen,NP4 6QZ,01495 742761,238
6782308,George Street Primary School,678,Torfaen,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Wainfelin Road,Pontypool,Torfaen,,NP4 6BX,01495 756436,439
6782312,Ysgol Gymraeg Cwmbran Primary,678,Torfaen,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Henllys Way,St Dials,Cwmbran,Torfaen,NP44 4HB,01633 483383,363
6782315,Garnteg Primary,678,Torfaen,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Hillcrest,Garndiffaith,Pontypool,Torfaen,NP4 7SJ,01495 742934,449
6782318,Ysgol Bryn Onnen,678,Torfaen,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Varteg Road,Pontypool,Torfaen,,NP4 7RT,01495 772284,216
6782319,Woodlands Community Primary School,678,Torfaen,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Thornhill Road,Upper Cwmbran,Cwmbran,Torfaen,NP44 5UA,01633 647488,357
6782320,New Inn Primary School,678,Torfaen,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Off Golf Road,New Inn,Pontypool,Torfaen,NP4 0NG,01495 757649,625
6782321,Griffithstown Primary School,678,Torfaen,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Florence Place,Griffithstown,Pontypool,Torfaen,NP4 5DN,01495 759679,382
6782322,Penygarn Community Primary School,678,Torfaen,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Penygarn Road,Penygarn,Pontypool,,NP4 8JR,01495 742090,429
6782323,Blenheim Road Community Primary School,678,Torfaen,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Blenheim Road,St Dials,Cwmbran,,NP44 4SZ,01495 484655,284
6782324,Coed Eva Primary School,678,Torfaen,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Teynes,Coed Eva,Cwmbran,Torfaen,NP44 4TG,01633 484131,443
6782325,Croesyceiliog Primary School,678,Torfaen,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,North Road,Croesyceiliog,Cwmbran,Torfaen,NP44 2LL,01633 624114,445
6782326,Nant Celyn Primary School ,678,Torfaen,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Henllys Way,Cwmbran,,,NP44 7DJ,01633 624170,449
6782327,Ysgol Panteg,678,Torfaen,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Station Road,Griffithstown,,Pontypool,NP4 5HP,01495 762581,437
6783028,Blaenavon Heritage Vc Primary School,678,Torfaen,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Blaenavon Community Campus,Middle Coed Cae Road,Blaenavon,Torfaen,NP4 9AW,01495 766500,510
6783321,Cwmbran R.C. Jnr. & Infts.,678,Torfaen,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Victoria Street,Cwmbran,Torfaen,,NP44 3JR,01633 484673,217
6783324,St. Davids Cwmbran R.C. School,678,Torfaen,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Caldicot Way,Pontrhydyrun,Cwmbran,Torfaen,NP44 1UF,01633 482580,209
6783330,Henllys Church In Wales,678,Torfaen,Primary,Voluntary aided,EM,English medium,Infants & Juniors,Church in Wales,Ty Canol Way,Cwmbran,Torfaen,,NP44 6JA,01633 877796,186
6783331,Padre Pio Rc Primary School,678,Torfaen,Primary,Voluntary aided,EM,English medium,Infants & Juniors,Roman Catholic,Conway Road,Pontypool,Torfaen,,NP4 6HL,01633 742074,214
6783332,Ponthir Church in Wales School,678,Torfaen,Primary,Voluntary aided,EM,English medium,Infants & Juniors,Church in Wales,Caerleon Road,Ponthir,Torfaen,,NP18 1GA,01633 421651,105
6784051,Croesyceiliog School,678,Torfaen,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Woodland Road,Croesyceiliog,Cwmbran,Torfaen,NP44 2YB,01633 645900,1401
6784070,Abersychan Comprehensive,678,Torfaen,Secondary,Community,EM,English medium,Secondary (ages 11-16),---, INCLINE ROAD,ABERSYCHAN,Pontypool,Torfaen,NP4 7DF,01495 773068,835
6784072,West Monmouth School,678,Torfaen,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Blaendare Road,Pontypool,Torfaen,,NP4 5YG,01495 762080,1031
6784075,Ysgol Gyfun Gwynllyw,678,Torfaen,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Heol Folly,Trefddyn,Pontypool,Torfaen,NP4 8JD,01495 750405,803
6784076,Cwmbran High School,678,Torfaen,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Ty Gwyn Way,Fairwater,Cwmbran,,NP44 4YZ,01633 643950,1123
6784603,St. Albans R.C. High School,678,Torfaen,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-16),Roman Catholic,The Park,Pontypool,Torfaen,,NP4 6XG,01495 765800,841
6787012,Crownbridge Special School,678,Torfaen,Special,Not Applicable,NA,Not applicable,Special (with post-16 provision),---,Turnpike Road,Croesyceiliog,Cwmbran,Torfaen,NP44 2BJ,01495 742065,116
6792057,Gilwern Primary School,679,Monmouthshire,Primary,Community,EM,English medium,Infants & Juniors,---,Cae Meldon,Gilwern,Abergavenny,Monmouthshire,NP7 0AY,01873 830325,220
6792134,Goytre Fawr Primary,679,Monmouthshire,Primary,Community,EM,English medium,Infants & Juniors,---,Penperlleni,Nr Pontypool,Monmouthshire,,NP4 0AH,01873 880369,178
6792163,Undy Primary School,679,Monmouthshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Pennyfarthing Lane,Undy,Newport,Monmouthshire,NP26 3LZ,01633 880021,365
6792164,Rogiet County Primary,679,Monmouthshire,Primary,Community,EM,English medium,Infants & Juniors,---,Station Road,Rogiet,Newport,Monmouthshire,NP26 3SD,01291 420348,200
6792228,Pembroke Primary,679,Monmouthshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Fairfield Road,Bulwark,Chepstow,Monmouthshire,NP16 5JP,01291 622310,248
6792243,Llanvihangel Crucorney County Primary School,679,Monmouthshire,Primary,Community,EM,English medium,Infants & Juniors,---,Pandy,Abergavenny,Monmouthshire,,NP7 8DL,01873 890416,69
6792246,Thornwell Primary School,679,Monmouthshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Thornwell Road,Bulwark,Chepstow,Monmouthshire,NP16 5NT,01291 623390,315
6792261,Durand Primary School,679,Monmouthshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Alianore Road,Caldicot,Monmouthshire,,NP26 5DF,01291 422296,245
6792263,Llandogo Primary,679,Monmouthshire,Primary,Community,EM,English medium,Infants & Juniors,---,Llandogo,Homlfield Drive,Monmouth,Monmouthshire,NP25 4TJ,01594 530388,79
6792299,Shirenewton Primary School,679,Monmouthshire,Primary,Community,EM,English medium,Infants & Juniors,---,Shirenewton,Chepstow,Monmouthshire,,NP16 6RN,01291 641774,194
6792301,Trellech Junior & Infants,679,Monmouthshire,Primary,Community,EM,English medium,Infants & Juniors,---,Trellech,Monmouth,Monmouthshire,,NP25 4PA,01600 860395,180
6792303,The Dell Primary,679,Monmouthshire,Primary,Community,EM,English medium,Infants & Juniors,---,Welsh Street,Chepstow,Monmouthshire,,NP16 5UQ,01291 635641,392
6792304,Overmonnow Primary School,679,Monmouthshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Rockfield Road,Monmouth,Monmouthshire,,NP25 5BA,01600 713458,351
6792305,Cross Ash County Primary School,679,Monmouthshire,Primary,Community,EM,English medium,Infants & Juniors,---,Cross Ash,Abergavenny,Monmouthshire,,NP7 8PL,01873 821427,175
6792317,Ysgol Gymraeg Y Fenni,679,Monmouthshire,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,St David's Road,Abergavenny,,,NP7 6HF,01873 852388,269
